PartieId;Seed;NumCoup;Joueur;Action;Detail;PhaseAvant;PhaseApres;TaillePileAvant;TaillePileApres
1;1035191123;514;Bot1;Joue;Dame♠;Travail;Travail;1;2
1;1035191123;515;Bot2;Joue;Roi♠;Travail;Travail;2;3
1;1035191123;517;Bot2;Joue;Nine♥;Travail;Travail;0;1
1;1035191123;518;Bot1;Joue;Prêtre♣;Travail;Travail;1;2
1;1035191123;519;Bot2;Joue;Six♣;Travail;Travail;2;3
1;1035191123;520;Bot1;Joue;Nine♦;Travail;Travail;3;4
1;1035191123;521;Bot2;Joue;Valet♥;Travail;Travail;4;5
1;1035191123;522;Bot1;Joue;Dame♠;Travail;Travail;5;6
1;1035191123;523;Bot2;Joue;Roi♣;Travail;Travail;6;7
1;1035191123;524;Bot1;Joue;Roi♠;Travail;Travail;7;8
1;1035191123;526;Bot1;Joue;Eight♥;Travail;Travail;0;1
1;1035191123;527;Bot2;Joue;Valet♠;Travail;Travail;1;2
1;1035191123;528;Bot1;Joue;Dame♦;Travail;Travail;2;3
1;1035191123;529;Bot2;Joue;Dame♠;Travail;Travail;3;4
1;1035191123;531;Bot2;Joue;Six♠;Travail;Travail;0;1
1;1035191123;532;Bot1;Joue;Dame♦;Travail;Travail;1;2
1;1035191123;533;Bot2;Joue;Roi♣;Travail;Travail;2;3
1;1035191123;535;Bot2;Joue;Seven♣;Travail;Travail;0;1
